Composition du train,Type de matériel,Ligne,Tournée,Code de dégradation,Période d'exploitation,Type de Jour,Année civile,Année civile/mois,Année civile/semaine,Année civile/Trim.,Jour calendaire,Jour de la semaine,Mois calendrier,Km voiture
001-000-000,10,Ligne orange,9,PA,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-24,Jeudi,1,1585.737
001-000-000,10,Ligne orange,9,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-21,Jeudi,3,1280.007
001-000-000,10,Ligne orange,9,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,1203.345
001-000-000,10,Ligne orange,10,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-04,Lundi,2,24.813
001-000-000,10,Ligne orange,10,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-21,Jeudi,3,17.343
001-000-000,10,Ligne orange,10,PA,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-04,Lundi,2,1652.949
001-000-000,10,Ligne orange,10,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-21,Jeudi,3,1321.263
001-000-000,10,Ligne orange,13,CMC,18N,Semaine,2019,2019-01,201901,2019-1,2019-01-03,Jeudi,1,89.64
001-000-000,10,Ligne orange,13,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-04,Lundi,2,25.461
001-000-000,10,Ligne orange,13,PA,18N,Semaine,2019,2019-01,201901,2019-1,2019-01-03,Jeudi,1,4978.908
001-000-000,10,Ligne orange,13,PA,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-04,Lundi,2,1850.265
001-000-000,10,Ligne orange,14,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-16,Mercredi,1,70.686
001-000-000,10,Ligne orange,14,PA,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-16,Mercredi,1,969.705
001-000-000,10,Ligne orange,15,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-13,Mercredi,2,83.169
001-000-000,10,Ligne orange,15,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-14,Jeudi,2,146.709
001-000-000,10,Ligne orange,15,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-15,Vendredi,2,99.63
001-000-000,10,Ligne orange,15,CMC,19J,Dimanche,2019,2019-02,201907,2019-1,2019-02-17,Dimanche,2,118.953
001-000-000,10,Ligne orange,15,CMC,19J,Dimanche,2019,2019-02,201908,2019-1,2019-02-24,Dimanche,2,65.709
001-000-000,10,Ligne orange,15,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-13,Mercredi,2,1585.737
001-000-000,10,Ligne orange,15,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-14,Jeudi,2,3702.888
001-000-000,10,Ligne orange,15,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-15,Vendredi,2,3967.605
001-000-000,10,Ligne orange,15,PA,19J,Dimanche,2019,2019-02,201907,2019-1,2019-02-17,Dimanche,2,1589.85
001-000-000,10,Ligne orange,15,PA,19J,Dimanche,2019,2019-02,201908,2019-1,2019-02-24,Dimanche,2,793.053
001-000-000,10,Ligne orange,16,CMC,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-28,Lundi,1,30.69
001-000-000,10,Ligne orange,16,CMC,19J,Samedi,2019,2019-02,201906,2019-1,2019-02-09,Samedi,2,149.004
001-000-000,10,Ligne orange,16,PA,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-28,Lundi,1,447.048
001-000-000,10,Ligne orange,16,PA,19J,Samedi,2019,2019-02,201906,2019-1,2019-02-09,Samedi,2,3170.601
001-000-000,10,Ligne orange,17,CMC,19J,Semaine,2019,2019-01,201902,2019-1,2019-01-09,Mercredi,1,144.261
001-000-000,10,Ligne orange,17,CMC,19J,Semaine,2019,2019-02,201905,2019-1,2019-02-01,Vendredi,2,39.834
001-000-000,10,Ligne orange,17,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-15,Vendredi,3,277.119
001-000-000,10,Ligne orange,17,PA,19J,Semaine,2019,2019-01,201902,2019-1,2019-01-09,Mercredi,1,2865.744
001-000-000,10,Ligne orange,17,PA,19J,Semaine,2019,2019-02,201905,2019-1,2019-02-01,Vendredi,2,2866.077
001-000-000,10,Ligne orange,17,PA,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-15,Vendredi,3,2865.744
001-000-000,10,Ligne orange,18,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-15,Vendredi,2,66.069
001-000-000,10,Ligne orange,18,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,56.493
001-000-000,10,Ligne orange,18,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-15,Vendredi,2,1321.38
001-000-000,10,Ligne orange,18,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,269.334
001-000-000,10,Ligne orange,19,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-12,Mardi,2,14.418
001-000-000,10,Ligne orange,19,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-15,Vendredi,3,153.558
001-000-000,10,Ligne orange,19,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,18.99
001-000-000,10,Ligne orange,19,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-12,Mardi,2,223.461
001-000-000,10,Ligne orange,19,PA,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-15,Vendredi,3,321.714
001-000-000,10,Ligne orange,19,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,432.819
001-000-000,10,Ligne orange,20,CMC,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-27,Mercredi,2,119.268
001-000-000,10,Ligne orange,20,PA,19J,Semaine,2019,2019-02,201909,2019-1,2019-02-27,Mercredi,2,2865.744
001-000-000,10,Ligne orange,21,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,5.265
001-000-000,10,Ligne orange,21,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-25,Lundi,3,32.679
001-000-000,10,Ligne orange,21,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-19,Mardi,3,314.37
001-000-000,10,Ligne orange,21,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-25,Lundi,3,447.048
001-000-000,10,Ligne orange,22,CMC,18N,Semaine,2019,2019-01,201901,2019-1,2019-01-04,Vendredi,1,297.405
001-000-000,10,Ligne orange,22,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-05,Mardi,2,34.173
001-000-000,10,Ligne orange,22,PA,18N,Semaine,2019,2019-01,201901,2019-1,2019-01-04,Vendredi,1,1016.334
001-000-000,10,Ligne orange,22,PA,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-05,Mardi,2,1283.625
001-000-000,10,Ligne orange,23,CMC,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-11,Lundi,2,19.071
001-000-000,10,Ligne orange,23,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-14,Jeudi,3,15.867
001-000-000,10,Ligne orange,23,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,1.746
001-000-000,10,Ligne orange,23,PA,19J,Semaine,2019,2019-02,201907,2019-1,2019-02-11,Lundi,2,751.734
001-000-000,10,Ligne orange,23,PA,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-14,Jeudi,3,751.734
001-000-000,10,Ligne orange,23,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,268.533
001-000-000,10,Ligne orange,25,CMC,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-14,Jeudi,3,28.845
001-000-000,10,Ligne orange,25,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,511.407
001-000-000,10,Ligne orange,25,PA,19J,Semaine,2019,2019-03,201911,2019-1,2019-03-14,Jeudi,3,2426.859
001-000-000,10,Ligne orange,25,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,824.463
001-000-000,10,Ligne orange,26,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-29,Vendredi,3,36.855
001-000-000,10,Ligne orange,26,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-29,Vendredi,3,1286.694
001-000-000,10,Ligne orange,27,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-20,Mercredi,3,43.371
001-000-000,10,Ligne orange,27,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-27,Mercredi,3,68.643
001-000-000,10,Ligne orange,27,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-20,Mercredi,3,2601.27
001-000-000,10,Ligne orange,27,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-27,Mercredi,3,1056.546
001-000-000,10,Ligne orange,28,CMC,19J,Semaine,2019,2019-01,201902,2019-1,2019-01-10,Jeudi,1,37.737
001-000-000,10,Ligne orange,28,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-28,Jeudi,3,16.317
001-000-000,10,Ligne orange,28,PA,19J,Semaine,2019,2019-01,201902,2019-1,2019-01-10,Jeudi,1,1281.978
001-000-000,10,Ligne orange,28,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-28,Jeudi,3,1321.02
001-000-000,10,Ligne orange,29,CMC,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-08,Vendredi,2,90.774
001-000-000,10,Ligne orange,29,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-21,Jeudi,2,4.32
001-000-000,10,Ligne orange,29,PA,19J,Semaine,2019,2019-02,201906,2019-1,2019-02-08,Vendredi,2,2076.75
001-000-000,10,Ligne orange,29,PA,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-21,Jeudi,2,729.549
001-000-000,10,Ligne orange,30,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-14,Lundi,1,77.274
001-000-000,10,Ligne orange,30,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-20,Mercredi,2,58.329
001-000-000,10,Ligne orange,30,CMC,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-21,Jeudi,2,65.988
001-000-000,10,Ligne orange,30,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-22,Vendredi,3,16.317
001-000-000,10,Ligne orange,30,PA,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-14,Lundi,1,5553.099
001-000-000,10,Ligne orange,30,PA,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-20,Mercredi,2,3699.495
001-000-000,10,Ligne orange,30,PA,19J,Semaine,2019,2019-02,201908,2019-1,2019-02-21,Jeudi,2,4818.312
001-000-000,10,Ligne orange,30,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-22,Vendredi,3,1321.02
001-000-000,10,Ligne orange,31,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,31.68
001-000-000,10,Ligne orange,31,CMC,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-28,Jeudi,3,59.571
001-000-000,10,Ligne orange,31,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-26,Mardi,3,1957.554
001-000-000,10,Ligne orange,31,PA,19M,Semaine,2019,2019-03,201913,2019-1,2019-03-28,Jeudi,3,4243.653
001-000-000,10,Ligne orange,32,CMC,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-31,Jeudi,1,295.839
001-000-000,10,Ligne orange,32,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-20,Mercredi,3,6.399
001-000-000,10,Ligne orange,32,PA,19J,Semaine,2019,2019-01,201905,2019-1,2019-01-31,Jeudi,1,1061.217
001-000-000,10,Ligne orange,32,PA,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-20,Mercredi,3,661.266
001-000-000,10,Ligne orange,33,CMC,19J,Semaine,2019,2019-03,201912,2019-1,2019-03-22,Vendredi,3,47.079
